,beta,gamma
14,0.5322440992350784,0.4550853432739349
15,0.5329456161879585,0.4556661374828559
16,0.5334508728026612,0.4560891481878554
17,0.533762160178256,0.4563515517401004
18,0.5338355756772563,0.4564232614794373
19,0.5336753075964336,0.45630651439038183
20,0.5339651609836363,0.45655074564968734
21,0.5341869308506989,0.45673948701957967
22,0.534229463712415,0.4567858698535044
23,0.5341089436527137,0.45670230340592705
24,0.5338361674729909,0.45649817940695525
25,0.5334889323462315,0.45623527742253706
26,0.5331019797053959,0.45594199543181957
27,0.5327012340838009,0.45563849318066907
28,0.532215630679668,0.4552675655481195
29,0.5317504544746228,0.4549146642572175
30,0.5312053644692634,0.45449879690011336
31,0.5306147834897746,0.4540484833627678
32,0.5299844569514836,0.4535667177159518
33,0.5294266320135851,0.453142930462989
34,0.5287484883465121,0.45262427915109027
35,0.5281856779178905,0.45219755877732615
36,0.527417041303656,0.4516108311331092
37,0.52664945017952,0.4510255914213577
38,0.5259056503615864,0.4504590814809949
39,0.5251228328774069,0.4498629397945129
40,0.5243412231884849,0.4492680210929529
41,0.5236988629676101,0.4487817281530216
42,0.5230377582187244,0.44828067092806145
43,0.5224320088329498,0.44782320391042785
44,0.5218558279555874,0.4473875557293147
45,0.5213272307346825,0.4469896715238581
46,0.5208212994695602,0.4466088319285676
47,0.520422954432014,0.4463129827342981
48,0.5199897840373251,0.4459863310652165
49,0.5196520376324041,0.44573543295587126
50,0.519351182007898,0.44551250648758023
51,0.5190603160673062,0.4452973160966021
52,0.5187931834663566,0.44510031132102035
53,0.5185437857150509,0.44491629839961916
54,0.5183533081372106,0.444778544670015
55,0.5181360965762566,0.444619387363486
56,0.5179243767575163,0.4444653335599798
57,0.517729254635598,0.44432224722409813
58,0.5175382580940155,0.4441830749061274
59,0.5173851379051648,0.4440730511253819
60,0.5171500609176122,0.443902380509815
61,0.5170084616589338,0.44379896229688476
62,0.5168028414158458,0.4436482457925271
63,0.5166500432494808,0.44353798886116125
64,0.5164862425569419,0.44341933419931095
65,0.5163299550817132,0.4433066140976616
66,0.5162097252526361,0.4432212444972865
67,0.5160660709454591,0.4431174500405825
68,0.5159490230623136,0.44303313510739334
69,0.5158457487008692,0.4429614073356827
70,0.5157424205732447,0.4428878957607482
71,0.5156312400645637,0.44280779833944833
72,0.5155486685976612,0.4427515400901531
73,0.5154540488614109,0.4426834059210612
74,0.5153612540221902,0.44261795164498857
75,0.5152993294598214,0.44257624522205236
76,0.5152482852906729,0.4425435718119479
77,0.5152169774328115,0.4425251353516233
78,0.5151318050332098,0.44246455183449784
79,0.5150850410377757,0.44243419647231397
80,0.5150429367493927,0.4424061395567861
81,0.5150144705232833,0.4423895169498768
82,0.5149952230049781,0.442379011017083
83,0.5149822856335453,0.4423743885181311
84,0.5149706291244067,0.44236788044180225
85,0.514946565414976,0.4423557390968415
86,0.5149105841995293,0.4423312954455959
87,0.5149301156807288,0.4423509512215943
88,0.5149064579417144,0.44233703805189434
89,0.5148972764733618,0.44233348388744925
90,0.5149084076293498,0.4423456558548573
91,0.5149212113424585,0.4423595612242732
92,0.5149048937004823,0.44235036664435906
93,0.5149211076284719,0.44236588469601285
94,0.5149411462135209,0.44238587848916516
95,0.5149443565618833,0.4423912346169362
96,0.5149652362386737,0.4424106316440928
97,0.5149886130681051,0.44243221464438565
98,0.5149990405678032,0.44244281208083447
99,0.5149913079358943,0.44244000002184886
100,0.5150183755809148,0.44246381397534734
101,0.5150186521259105,0.44246704785764135
102,0.515047493259637,0.4424918540595868
103,0.5150592458465435,0.4425034062609196
104,0.5150900679008622,0.4425306118278925
105,0.5151012167666702,0.4425419389688125
106,0.5151214092179907,0.4425596823560839
107,0.5151223956879266,0.44256277766894514
108,0.5151634828910353,0.44259730444534684
109,0.5151696491734739,0.4426049168364576
110,0.5152099751282501,0.4426386934271202
111,0.5152247637777044,0.44265198587060894
112,0.5152352377427539,0.4426628290682106
113,0.5152885806347489,0.44270699512264233
114,0.51529560534007,0.44271417498847354
115,0.5153095023574183,0.44272740087288154
116,0.515306445459618,0.4427270146378879
117,0.5153379761335519,0.4427535549111106
118,0.5153630209423072,0.44277489278247517
119,0.5154034517644188,0.4428071376640012
120,0.5154003116403322,0.44280866195840785
121,0.5154180798754542,0.4428244026095468
122,0.5154310303540387,0.4428361674998004
123,0.51546282800354,0.4428630957089927
124,0.5154913218386594,0.4428869303251709
125,0.515495655150074,0.4428922087473333
126,0.5155146321046002,0.4429084515062685
127,0.5155514574825104,0.44293922109792416
128,0.5155442417834312,0.44293485757062273
129,0.5155872861881353,0.4429700795549351
130,0.5156132115061398,0.44299178321271826
131,0.515622245548535,0.4430008908772845
132,0.515635778709768,0.4430132418615022
133,0.5156515221648131,0.4430272314225518
134,0.515679363777225,0.4430500706212198
135,0.515672091362704,0.44304634909763974
136,0.5156888980035382,0.44306090481920857
137,0.5157204867438321,0.4430869511429907
138,0.5157409958405005,0.44310436774252043
139,0.5157478669989634,0.4431111752018806
140,0.5157682993713844,0.443128413399169
141,0.5157876079482839,0.44314516383462066
142,0.5158169058650648,0.44316954743569703
143,0.5158147173176243,0.4431690034288883
144,0.5158351518806341,0.443186441606558
145,0.5158584242940346,0.44320613948803506
146,0.5158699870754196,0.4432163191858776
147,0.5158953188268542,0.44323749071093405
148,0.5158975987935805,0.44324063691452487
149,0.5159205197433859,0.4432596547029449
150,0.5159369791978949,0.44327378851211163
151,0.5159523234000206,0.4432871326367721
152,0.5159713026431595,0.4433032363132624
153,0.5159865977601896,0.4433163440012703
154,0.516000610539642,0.44332854187718795
155,0.5160132846313168,0.4433396733798906
156,0.5160199769870626,0.443346260430422
157,0.516036389580222,0.44335999331264214
158,0.5160548790322907,0.443375649878356
159,0.5160768965726974,0.44339393232488183
160,0.5160803303457044,0.4433977440923076
161,0.5160992383840448,0.4434136519813737
162,0.5161233789568885,0.4434341850727863
163,0.5161380713917072,0.4434465485307683
164,0.5161279043483629,0.44343921483701837
