,0
1/11/21,96920
1/12/21,97095
1/13/21,97275
1/14/21,97448
1/15/21,97616
1/16/21,97775
1/17/21,97939
1/18/21,98164
1/19/21,98323
1/20/21,98544
1/21/21,98786
1/22/21,98886
1/23/21,99047
1/24/21,99247
1/25/21,99402
1/26/21,99541
1/27/21,99655
1/28/21,99746
1/29/21,99848
1/30/21,99968
1/31/21,100063
2/1/21,100127
2/2/21,100177
2/3/21,100226
2/4/21,100268
2/5/21,100318
2/6/21,100348
2/7/21,100389
2/8/21,100435
2/9/21,100475
2/10/21,100494
2/11/21,100527
2/12/21,100559
2/13/21,100578
2/14/21,100599
2/15/21,100624
2/16/21,100639
2/17/21,100666
2/18/21,100684
2/19/21,100705
2/20/21,100727
2/21/21,100758
2/22/21,100784
2/23/21,100808
2/24/21,100832
2/25/21,100851
2/26/21,100885
2/27/21,100924
2/28/21,100965
3/1/21,100990
3/2/21,101013
3/3/21,101037
3/4/21,101055
3/5/21,101076
3/6/21,101097
3/7/21,101132
3/8/21,101149
3/9/21,101175
3/10/21,101194
3/11/21,101225
3/12/21,101292
3/13/21,101349
3/14/21,101378
3/15/21,101421
3/16/21,101443
3/17/21,101460
3/18/21,101481
3/19/21,101498
3/20/21,101518
3/21/21,101533
3/22/21,101560
3/23/21,101582
3/24/21,101603
3/25/21,101623
3/26/21,101646
3/27/21,101663
3/28/21,101676
3/29/21,101692
3/30/21,101710
3/31/21,101732
4/1/21,101754
4/2/21,101799
4/3/21,101821
4/4/21,101861
4/5/21,101901
4/6/21,101920
4/7/21,101953
4/8/21,101984
4/9/21,102012
4/10/21,102027
4/11/21,102056
4/12/21,102078
4/13/21,102103
4/14/21,102118
4/15/21,102135
4/16/21,102167
4/17/21,102201
4/18/21,102242
4/19/21,102264
4/20/21,102293
4/21/21,102300
4/22/21,102333
4/23/21,102351
4/24/21,102367
4/25/21,102384
4/26/21,102399
4/27/21,102419
4/28/21,102446
4/29/21,102474
4/30/21,102494
5/1/21,102517
5/2/21,102530
5/3/21,102549
5/4/21,102560
5/5/21,102571
5/6/21,102586
5/7/21,102596
5/8/21,102613
5/9/21,102625
5/10/21,102643
5/11/21,102660
5/12/21,102671
5/13/21,102681
5/14/21,102696
5/15/21,102717
5/16/21,102746
5/17/21,102769
5/18/21,102784
5/19/21,102797
5/20/21,102822
5/21/21,102833
5/22/21,102853
5/23/21,102873
5/24/21,102890
5/25/21,102905
5/26/21,102925
5/27/21,102932
5/28/21,102948
5/29/21,102960
5/30/21,102987
5/31/21,103014
6/1/21,103045
6/2/21,103069
6/3/21,103094
6/4/21,103119
6/5/21,103150
6/6/21,103176
6/7/21,103216
6/8/21,103235
6/9/21,103261
6/10/21,103285
6/11/21,103320
6/12/21,103357
6/13/21,103380
6/14/21,103401
6/15/21,103424
6/16/21,103444
6/17/21,103467
6/18/21,103501
6/19/21,103525
6/20/21,103543
6/21/21,103571
6/22/21,103602
6/23/21,103620
6/24/21,103651
6/25/21,103680
6/26/21,103696
6/27/21,103724
6/28/21,103745
6/29/21,103755
6/30/21,103769
7/1/21,103791
7/2/21,103825
7/3/21,103841
7/4/21,103866
7/5/21,103890
7/6/21,103948
7/7/21,103966
7/8/21,103992
7/9/21,104019
7/10/21,104020
7/11/21,104072
7/12/21,104101
7/13/21,104126
7/14/21,104157
7/15/21,104193
7/16/21,104224
7/17/21,104257
7/18/21,104290
7/19/21,104355
